,move_st_hr,move_arv_hr,start_place_cd,arv_place_cd,sex_nm,age_grp,popl_cnt
289,2019-09-30 16:00:00,2019-10-01 07:00:00,380957,110006,M,50,3.3
290,2019-09-30 16:00:00,2019-10-01 07:00:00,111431,320712,M,50,3.31
291,2019-09-30 16:00:00,2019-10-01 07:00:00,210587,110337,F,30,2.4
292,2019-09-30 16:00:00,2019-10-01 08:00:00,110351,310661,M,50,3.3
293,2019-09-30 16:00:00,2019-10-01 08:00:00,111564,381323,F,30,3.07
294,2019-09-30 16:00:00,2019-10-01 08:00:00,340551,111492,F,40,3.44
295,2019-09-30 16:00:00,2019-10-01 09:00:00,110321,370743,M,20,2.28
296,2019-09-30 16:00:00,2019-10-01 10:00:00,290100,111532,M,40,3.18
297,2019-09-30 16:00:00,2019-10-01 10:00:00,110858,350846,F,20,2.17
298,2019-09-30 16:00:00,2019-10-01 10:00:00,110082,340118,F,50,3.25
299,2019-09-30 16:00:00,2019-10-01 11:00:00,110067,321059,F,50,3.28
300,2019-09-30 16:00:00,2019-10-01 11:00:00,110308,320594,M,10,4.56
301,2019-09-30 16:00:00,2019-10-01 11:00:00,110703,360529,M,40,3.16
302,2019-09-30 16:00:00,2019-10-01 12:00:00,290079,111522,F,20,2.05
303,2019-09-30 16:00:00,2019-10-01 13:00:00,330216,110611,M,50,3.29
304,2019-09-30 16:00:00,2019-10-01 14:00:00,341412,110004,M,60,4.06
305,2019-09-30 16:00:00,2019-10-01 00:00:00,110212,110602,M,70,4.63
306,2019-09-30 16:00:00,2019-10-01 00:00:00,110754,110758,M,60,4.08
307,2019-09-30 16:00:00,2019-10-01 00:00:00,110829,110872,M,30,2.6
308,2019-09-30 16:00:00,2019-10-01 00:00:00,110883,111020,M,40,3.05
309,2019-09-30 16:00:00,2019-10-01 00:00:00,111360,111533,M,30,2.69
310,2019-09-30 16:00:00,2019-10-01 00:00:00,111389,111369,F,10,4.08
311,2019-09-30 16:00:00,2019-10-01 00:00:00,111649,350064,M,70,5.98
312,2019-09-30 16:00:00,2019-10-01 00:00:00,110620,110620,F,40,3.47
313,2019-09-30 16:00:00,2019-10-01 00:00:00,110955,312203,M,20,2.71
314,2019-09-30 16:00:00,2019-10-01 00:00:00,111551,110729,F,10,4.05
315,2019-09-30 16:00:00,2019-10-01 00:00:00,311258,111801,F,30,3.04
316,2019-09-30 16:00:00,2019-10-01 00:00:00,312190,111240,M,60,3.52
317,2019-09-30 16:00:00,2019-10-01 01:00:00,110037,111359,F,60,4.67
318,2019-09-30 16:00:00,2019-10-01 01:00:00,110042,110049,M,70,5.95
319,2019-09-30 16:00:00,2019-10-01 01:00:00,110129,310947,M,60,4.02
320,2019-09-30 16:00:00,2019-10-01 01:00:00,110576,110524,F,10,5.99
321,2019-09-30 16:00:00,2019-10-01 01:00:00,110657,230441,M,40,3.0
322,2019-09-30 16:00:00,2019-10-01 01:00:00,110717,110741,F,10,4.1
323,2019-09-30 16:00:00,2019-10-01 01:00:00,110858,310966,F,40,3.44
324,2019-09-30 16:00:00,2019-10-01 01:00:00,111040,311885,M,30,2.39
325,2019-09-30 16:00:00,2019-10-01 01:00:00,111390,111159,F,20,2.21
